[06/15/20 17:21:55] Frame : 21  Loop : 21
[06/15/20 17:21:56] Frame : 16  Loop : 16
[06/15/20 17:21:57] Frame : 15  Loop : 15
[06/15/20 17:21:58] Frame : 17  Loop : 17
[06/15/20 17:21:59] Frame : 17  Loop : 17
[06/15/20 17:22:00] Frame : 11  Loop : 11
[06/15/20 17:22:01] Frame : 15  Loop : 15
[06/15/20 17:22:02] Frame : 10  Loop : 10
[06/15/20 17:22:03] Frame : 32  Loop : 32
[06/15/20 17:22:04] Frame : 12  Loop : 12
[06/15/20 17:22:05] Frame : 12  Loop : 12
[06/15/20 17:22:06] Frame : 14  Loop : 14
[06/15/20 17:22:07] Frame : 15  Loop : 15
[06/15/20 17:22:08] Frame : 11  Loop : 11
[06/15/20 17:22:09] Frame : 14  Loop : 14
[06/15/20 17:22:39] Frame : 11  Loop : 11
[06/15/20 17:22:40] Frame : 1  Loop : 1
[06/15/20 17:22:41] Frame : 1301  Loop : 2538
[06/15/20 17:24:31] Frame : 26  Loop : 26289
[06/15/20 17:25:10] Frame : 22  Loop : 18836
[06/15/20 17:25:10] Frame : 1  Loop : 1
[06/15/20 17:25:11] Frame : 57  Loop : 18707
[06/15/20 17:25:12] Frame : 26  Loop : 15089
[06/15/20 17:37:00] Server Open OK # Port:20000
[06/15/20 17:37:08] Frame : 16  Loop : 68
[06/15/20 17:37:09] Frame : 35  Loop : 2718
[06/15/20 17:37:10] Frame : 28  Loop : 1552
[06/15/20 17:37:12] Connect Session # IP:127.0.0.1 / SessionID:1 
[06/15/20 17:37:12] Frame : 26  Loop : 14987
[06/15/20 17:37:24] Frame : 26  Loop : 20727
[06/15/20 17:37:25] Frame : 26  Loop : 13852
[06/15/20 17:37:27] Frame : 26  Loop : 20605
[06/15/20 17:37:34] Frame : 26  Loop : 15485
[06/15/20 17:37:40] Frame : 26  Loop : 22188
[06/15/20 17:37:47] Frame : 26  Loop : 22807
[06/15/20 17:37:56] Frame : 26  Loop : 25092
[06/15/20 17:38:00] Frame : 24  Loop : 21925
[06/15/20 17:38:01] Frame : 27  Loop : 21063
[06/15/20 17:38:11] Frame : 26  Loop : 25068
[06/15/20 17:38:13] Frame : 26  Loop : 23681
[06/15/20 17:39:11] Frame : 26  Loop : 24390
[06/15/20 17:39:32] Frame : 26  Loop : 23149
[06/15/20 17:39:54] Frame : 26  Loop : 22942
[06/15/20 17:40:09] Frame : 26  Loop : 23355
[06/15/20 17:40:13] Frame : 26  Loop : 23567
[06/15/20 17:41:08] Frame : 26  Loop : 23061
[06/15/20 17:41:18] Frame : 26  Loop : 24113
[06/15/20 17:41:38] Frame : 26  Loop : 24289
[06/15/20 17:42:06] Frame : 24  Loop : 21221
[06/15/20 17:42:07] Frame : 27  Loop : 25338
[06/15/20 17:42:35] Frame : 26  Loop : 23108
[06/15/20 17:44:07] Frame : 26  Loop : 23256
[06/15/20 17:45:31] Frame : 26  Loop : 26243
[06/15/20 17:46:28] Frame : 24  Loop : 23422
[06/15/20 17:46:29] Frame : 27  Loop : 22206
[06/15/20 17:46:54] Frame : 26  Loop : 21460
[06/15/20 17:47:51] Frame : 26  Loop : 21646
[06/15/20 17:49:31] Frame : 26  Loop : 26908
[06/15/20 17:49:41] Frame : 26  Loop : 28678
[06/15/20 17:49:56] Frame : 26  Loop : 23465
[06/15/20 17:51:11] Frame : 26  Loop : 25265
[06/15/20 17:51:20] Frame : 26  Loop : 25187
[06/15/20 17:51:39] Frame : 27  Loop : 24825
[06/15/20 17:51:59] Frame : 26  Loop : 26148
[06/15/20 17:54:15] Frame : 26  Loop : 21380
[06/15/20 17:54:19] Frame : 26  Loop : 24087
[06/15/20 17:54:41] Frame : 26  Loop : 24564
[06/15/20 17:56:18] Frame : 26  Loop : 22274
[06/15/20 17:56:43] Frame : 26  Loop : 25947
[06/15/20 17:56:50] Frame : 26  Loop : 25399
[06/15/20 17:56:57] Frame : 26  Loop : 26249
[06/15/20 17:57:09] Frame : 26  Loop : 24997
